time,VHMO,VTPK,VPED_cos,VPED_sin,WSPD_41m,WDIR_42m_cos,WDIR_42m_sin
01-Dec-2017 14:00:00,1.72,7.14,0.845261833221856,-0.534352349389827,9.49,0.902359745552553,0.43098363032293
01-Dec-2017 14:30:00,1.55,10.53,0.882126866017668,-0.47101188121941,7.24,0.999144619181281,0.0413525085223672
01-Dec-2017 15:00:00,1.57,7.69,0.831954122130483,-0.554844427447999,5.22,0.895245648324812,0.445572922376896
01-Dec-2017 15:30:00,1.47,7.69,0.8703556959399,-0.492423560103467,4.96,0.752184937064111,0.658952062333717
01-Dec-2017 16:00:00,1.61,7.14,0.845261833221856,-0.534352349389827,6.74,0.810143969390314,0.586230968868505
01-Dec-2017 16:30:00,1.57,10.0,0.904082549660778,-0.427357863387193,5.97,0.672883413281287,0.739748546555466
01-Dec-2017 17:00:00,1.61,7.69,0.8703556959399,-0.492423560103467,4.97,0.648119901063131,0.761538307536737
01-Dec-2017 17:30:00,1.59,10.53,0.941470544812038,-0.337095258423082,6.79,0.942757954235996,0.333477794950067
01-Dec-2017 18:00:00,1.6,10.0,0.932953534825489,-0.359996808120052,6.76,0.726214813210745,0.687467850210672
01-Dec-2017 18:30:00,1.5,8.33,0.956813584057608,-0.290702193598252,1.86,0.515337251358818,0.856987466280539
01-Dec-2017 19:00:00,1.56,10.0,0.969872015284747,-0.243615011786023,5.06,0.969872015284747,0.243615011786022
01-Dec-2017 19:30:00,1.57,7.14,0.956813584057608,-0.290702193598252,5.81,0.820451338314239,0.571716364518608
01-Dec-2017 20:00:00,1.35,7.69,0.956813584057608,-0.290702193598252,4.71,0.952767550770937,0.303700500819394
01-Dec-2017 20:30:00,1.43,8.33,0.956813584057608,-0.290702193598252,3.73,0.822938103530372,0.568131039248724
01-Dec-2017 21:00:00,1.44,10.0,0.904082549660778,-0.427357863387193,3.68,0.935813675838491,0.352495055445678
01-Dec-2017 21:30:00,1.44,8.33,0.923879532511287,-0.38268343236509,3.57,0.726094816375592,0.687594588134967
01-Dec-2017 22:00:00,1.48,9.09,0.904082549660778,-0.427357863387193,3.07,0.707230183831018,0.706983357002373
01-Dec-2017 22:30:00,1.43,7.69,0.923879532511287,-0.38268343236509,3.02,0.831566564935969,0.555425105734871
01-Dec-2017 23:00:00,1.33,8.33,0.914253955234264,-0.405141586779862,2.93,0.977783236758606,0.209618562903822
01-Dec-2017 23:30:00,1.38,8.33,0.8703556959399,-0.492423560103467,0.78,0.612079269346317,0.790796413773152
02-Dec-2017 00:00:00,1.35,7.14,0.923879532511287,-0.38268343236509,0.6,0.970422263272497,0.241413816806505
02-Dec-2017 00:30:00,1.32,8.33,0.882126866017668,-0.47101188121941,2.27,0.710431079849813,-0.703766780107891
02-Dec-2017 01:00:00,1.26,9.09,0.904082549660778,-0.427357863387193,2.1,0.771513555043329,-0.636212884484749
02-Dec-2017 01:30:00,1.23,7.69,0.858064905723645,-0.51354125205817,1.29,-0.904752726179846,-0.425937207191548
02-Dec-2017 02:00:00,1.21,7.14,0.845261833221856,-0.534352349389827,1.33,-0.793990398647835,-0.607930297694605
02-Dec-2017 02:30:00,1.17,7.69,0.882126866017668,-0.47101188121941,1.7,-0.372015950386982,-0.928226336976963
02-Dec-2017 03:00:00,1.16,7.69,0.858064905723645,-0.51354125205817,3.16,-0.244968970675218,-0.969530919262673
02-Dec-2017 03:30:00,1.2,6.25,0.845261833221856,-0.534352349389827,2.33,-0.0826342727595426,-0.996579940077815
02-Dec-2017 04:00:00,1.19,6.67,0.904082549660778,-0.427357863387193,2.01,0.0443168439130123,-0.999017526045259
02-Dec-2017 04:30:00,1.13,7.69,0.923879532511287,-0.38268343236509,2.5,-0.226311311886086,-0.974055024170811
02-Dec-2017 05:00:00,1.04,6.67,0.923879532511287,-0.38268343236509,2.95,-0.636078220277764,-0.77162458338772
02-Dec-2017 05:30:00,1.07,7.14,0.923879532511287,-0.38268343236509,3.62,-0.624425048846016,-0.781084731878463
02-Dec-2017 06:00:00,1.04,7.69,0.932953534825489,-0.359996808120052,4.22,-0.658426777644331,-0.752644789047863
02-Dec-2017 06:30:00,0.98,7.69,0.956813584057608,-0.290702193598252,4.31,-0.754365965080212,-0.656454104053436
02-Dec-2017 07:00:00,1.01,6.67,0.845261833221856,-0.534352349389827,5.33,-0.71849057839556,-0.695536691165041
02-Dec-2017 07:30:00,1.06,6.67,0.882126866017668,-0.47101188121941,6.31,-0.866287084447387,-0.499546481640743
02-Dec-2017 08:00:00,1.11,7.69,0.893371388327838,-0.449318998615896,6.93,-0.865763485695714,-0.500453381281421
02-Dec-2017 08:30:00,1.2,7.14,0.893371388327838,-0.449318998615896,7.47,-0.877229965157222,-0.480070399243965
02-Dec-2017 09:00:00,1.18,7.14,0.893371388327838,-0.449318998615896,9.06,-0.850902808569362,-0.525323148517911
02-Dec-2017 09:30:00,1.16,7.69,0.914253955234264,-0.405141586779862,9.19,-0.791116789313846,-0.611665125428736
02-Dec-2017 10:00:00,1.18,4.17,-0.596224874965616,-0.802817475191114,9.7,-0.774392644082186,-0.632705328562516
02-Dec-2017 10:30:00,1.21,4.35,-0.576432316169793,-0.817144898335129,9.64,-0.67559020761566,-0.737277336810124
02-Dec-2017 11:00:00,1.24,4.55,-0.534352349389827,-0.845261833221856,9.85,-0.748029798903382,-0.663665141432459
02-Dec-2017 11:30:00,1.21,4.76,-0.449318998615897,-0.893371388327837,8.95,-0.788762337704809,-0.614698279335843
02-Dec-2017 12:00:00,1.3,5.0,-0.576432316169793,-0.817144898335129,9.46,-0.823235463426735,-0.567700072006838
02-Dec-2017 12:30:00,1.37,5.0,-0.51354125205817,-0.858064905723644,10.14,-0.828060334622494,-0.560638994563242
02-Dec-2017 13:00:00,1.41,5.26,-0.38268343236509,-0.923879532511287,9.83,-0.79978943940494,-0.600280644878987
02-Dec-2017 13:30:00,1.34,5.26,-0.38268343236509,-0.923879532511287,10.35,-0.776596479967759,-0.629998339126132
02-Dec-2017 14:00:00,1.51,5.26,-0.38268343236509,-0.923879532511287,10.53,-0.795050227324665,-0.606543597799036
02-Dec-2017 14:30:00,1.54,5.56,-0.290702193598253,-0.956813584057607,10.49,-0.81694363571926,-0.576717518424573
02-Dec-2017 15:00:00,1.48,5.56,-0.219846204352837,-0.975534543945857,10.72,-0.807578350374154,-0.58976029707582
02-Dec-2017 15:30:00,1.6,5.26,-0.359996808120051,-0.932953534825489,10.58,-0.854005138885099,-0.520264569962094
02-Dec-2017 16:00:00,1.62,5.26,-0.337095258423082,-0.941470544812038,11.24,-0.881055904267235,-0.473012149480164
02-Dec-2017 16:30:00,1.72,5.0,-0.267238376078257,-0.963630453208623,11.71,-0.900470640862375,-0.434916802325345
02-Dec-2017 17:00:00,1.89,5.26,-0.267238376078257,-0.963630453208623,11.6,-0.901832526405114,-0.432085748801982
02-Dec-2017 17:30:00,1.94,5.26,-0.38268343236509,-0.923879532511287,12.91,-0.858512728224549,-0.512792253721175
02-Dec-2017 18:00:00,1.91,5.56,-0.0975828997591499,-0.995227399981831,13.05,-0.838955625301125,-0.544199833494645
02-Dec-2017 18:30:00,1.95,5.56,-0.194234351219972,-0.980955155349192,11.87,-0.75805412178116,-0.652191650092665
02-Dec-2017 19:00:00,1.89,5.0,-0.427357863387193,-0.904082549660778,9.28,-0.685310104605784,-0.728251371797684
02-Dec-2017 19:30:00,1.73,5.26,-0.170209499166033,-0.98540789848349,9.3,-0.0026179908874176,-0.999996573055985
02-Dec-2017 20:00:00,1.63,5.56,0.170209499166033,-0.98540789848349,10.36,0.0237342489540222,-0.999718303036705
02-Dec-2017 20:30:00,1.76,5.56,0.0975828997591499,-0.995227399981831,9.58,0.0916754180158081,-0.995788942362601
02-Dec-2017 21:00:00,1.62,5.56,0.121869343405147,-0.992546151641322,9.89,0.0716715295003921,-0.997428289081012
02-Dec-2017 21:30:00,1.75,6.25,0.47101188121941,-0.882126866017668,9.62,0.0772410731867593,-0.99701244556573
02-Dec-2017 22:00:00,1.59,5.88,0.290702193598252,-0.956813584057608,8.62,-0.160742565603826,-0.986996366560232
02-Dec-2017 22:30:00,1.71,6.25,0.290702193598252,-0.956813584057608,8.75,-0.148327238339658,-0.98893833496661
02-Dec-2017 23:00:00,1.63,6.25,0.313992455967405,-0.949425477641904,8.98,-0.149362770623538,-0.988782464828164
02-Dec-2017 23:30:00,1.73,6.25,0.267238376078257,-0.963630453208623,10.02,-0.159881187691835,-0.987136265072988
03-Dec-2017 00:00:00,1.66,6.25,0.290702193598252,-0.956813584057608,10.09,-0.231068721395418,-0.972937431694704
03-Dec-2017 00:30:00,1.75,6.25,0.243615011786023,-0.969872015284747,10.71,-0.225291159947423,-0.974291482693729
03-Dec-2017 01:00:00,1.68,6.25,0.170209499166033,-0.98540789848349,9.41,-0.0673187591244714,-0.997731519332702
03-Dec-2017 01:30:00,1.72,6.67,0.313992455967405,-0.949425477641904,10.04,0.0608743312198071,-0.998145438199535
03-Dec-2017 02:00:00,1.83,5.88,0.243615011786023,-0.969872015284747,9.31,0.19183684814863,-0.981426830534197
03-Dec-2017 02:30:00,1.61,5.88,0.121869343405147,-0.992546151641322,10.68,0.0788070807376532,-0.996889885607036
03-Dec-2017 03:00:00,1.86,6.25,0.313992455967405,-0.949425477641904,9.82,-0.0068067315205615,-0.99997683393467
03-Dec-2017 03:30:00,1.87,5.88,0.243615011786023,-0.969872015284747,10.67,0.070278787473489,-0.99752738911333
03-Dec-2017 04:00:00,1.87,5.56,0.337095258423082,-0.941470544812038,10.89,0.204666893315013,-0.978831682558744
03-Dec-2017 04:30:00,1.99,5.88,0.219846204352837,-0.975534543945857,11.01,-0.0061086143906787,-0.999981342241057
03-Dec-2017 05:00:00,1.86,6.25,0.596224874965616,-0.802817475191114,10.52,0.0984513622388914,-0.995141863893438
03-Dec-2017 05:30:00,1.81,5.88,0.449318998615896,-0.893371388327838,12.32,0.111642375729577,-0.993748449025937
03-Dec-2017 06:00:00,1.91,5.56,0.219846204352837,-0.975534543945857,10.84,-0.0371669507830105,-0.999309070192747
03-Dec-2017 06:30:00,1.99,5.88,0.449318998615896,-0.893371388327838,10.42,-0.0478037958607565,-0.998856745034694
03-Dec-2017 07:00:00,1.91,6.25,0.596224874965616,-0.802817475191114,9.89,0.649182577013906,-0.760632619404127
03-Dec-2017 07:30:00,1.74,6.67,0.67172058932299,-0.74080459628675,6.6,0.430038445266602,-0.902810575698293
03-Dec-2017 08:00:00,1.84,6.67,0.724171861437467,-0.68961954373567,6.43,0.394904209688715,-0.918722300355299
03-Dec-2017 08:30:00,1.95,6.25,0.51354125205817,-0.858064905723645,11.55,0.788333005167847,-0.615248789485222
03-Dec-2017 09:00:00,1.92,6.25,0.68961954373567,-0.724171861437467,6.39,0.621010990506816,-0.783801856128029
03-Dec-2017 09:30:00,1.89,6.67,0.724171861437467,-0.68961954373567,8.12,0.653024152754461,-0.75733708209708
03-Dec-2017 10:00:00,1.74,7.14,0.802817475191114,-0.596224874965616,8.95,0.652891962552705,-0.757451044777204
03-Dec-2017 10:30:00,1.86,7.69,0.772733573497351,-0.634730513202267,8.54,0.538770785006863,-0.842452397007147
03-Dec-2017 11:00:00,1.87,7.14,0.772733573497351,-0.634730513202267,9.96,0.71312810654718,-0.701033739311051
03-Dec-2017 11:30:00,1.85,6.67,0.67172058932299,-0.74080459628675,8.38,0.693904698830246,-0.720066850328014
03-Dec-2017 12:00:00,1.84,6.25,0.534352349389827,-0.845261833221856,10.42,0.809939286825998,-0.586513726741151
03-Dec-2017 12:30:00,1.85,6.67,0.724171861437467,-0.68961954373567,10.28,0.732186373774758,-0.681104334194527
03-Dec-2017 13:00:00,1.89,7.14,0.817144898335129,-0.576432316169793,9.28,0.704881853942361,-0.709324729572274
03-Dec-2017 13:30:00,1.86,7.69,0.845261833221856,-0.534352349389827,9.04,0.675847524791678,-0.737041466427067
03-Dec-2017 14:00:00,2.01,7.69,0.845261833221856,-0.534352349389827,7.81,0.733848438205263,-0.679313233894126
03-Dec-2017 14:30:00,1.93,6.67,0.802817475191114,-0.596224874965616,10.43,0.782933997460823,-0.622104778650683
03-Dec-2017 15:00:00,2.02,7.69,0.788010753606722,-0.615661475325658,11.47,0.768618578918466,-0.639707339446218
03-Dec-2017 15:30:00,2.26,7.14,0.817144898335129,-0.576432316169793,10.61,0.710062491057925,-0.704138664463623
03-Dec-2017 16:00:00,2.16,7.14,0.788010753606722,-0.615661475325658,10.02,0.710062491057925,-0.704138664463623
03-Dec-2017 16:30:00,2.4,7.14,0.845261833221856,-0.534352349389827,10.38,0.71312810654718,-0.701033739311051
03-Dec-2017 17:00:00,2.29,7.69,0.882126866017668,-0.47101188121941,11.2,0.739513620871302,-0.673141593237126
03-Dec-2017 17:30:00,2.44,7.14,0.882126866017668,-0.47101188121941,11.36,0.691386968955207,-0.72248464285335
03-Dec-2017 18:00:00,2.43,7.69,0.893371388327838,-0.449318998615896,11.22,0.715692733703736,-0.698415285431006
03-Dec-2017 18:30:00,2.65,7.69,0.923879532511287,-0.38268343236509,10.6,0.694030363634561,-0.719945730144487
03-Dec-2017 19:00:00,2.49,7.69,0.914253955234264,-0.405141586779862,10.57,0.610698137683906,-0.791863488632611
03-Dec-2017 19:30:00,2.75,8.33,0.932953534825489,-0.359996808120052,11.82,0.719097275004068,-0.694909425092021
03-Dec-2017 20:00:00,2.64,8.33,0.914253955234264,-0.405141586779862,12.81,0.79557923366674,-0.605849554723153
03-Dec-2017 20:30:00,2.87,7.69,0.904082549660778,-0.427357863387193,11.41,0.758930458687831,-0.651171681567832
